Meanings,J Translation,English Definition,pronunciation,POS
functional,機能的な,useful; not just for decoration,ˈfʌŋkʃənəl,形容詞(adj.)
fundamental,基本的な,"Forming a necessary part, base, or core",ˌfʌndəˈmɛntəl,形容詞(adj.)
furthermore,さらに,In addition to what has been said,ˈfɜrðərˌmɔr,副詞(adv)
gallery,画廊,place to look at various types of art,ˈgæləri,名詞(n.)
gap,すきま；相違,distance between two objects,gæp,名詞(n.)
gaze,凝視,direction you are looking,geɪz,名詞(n.)
gender,性別,state of being male or female,ˈʤɛndər,名詞(n.)
gene,遺伝子,part of cell in a that controls the development and appearance of a living thing,ʤin,名詞(n.)
generate,生み出す,To create or be produced or bring into existence,ˈʤɛnəˌreɪt,動詞(verb)
genetic,遺伝の,"Concerning GENES or the scientific study of how a living thing's appearance, growth, and development are determined and transferred between generations",ʤəˈnɛtɪk,形容詞(adj.)
genuine,本物の、誠実な,"Being real, actual, and not false or artificial",ˈʤɛnjəwən,形容詞(adj.)
gesture,身振り；ジェスチャー,"bodily movement that expresses a particular meaning, idea, or emotion",ˈʤɛsʧər,名詞(n.)
global,世界的な,"Concerning, affecting, or involving the entire world",ˈgloʊbəl,形容詞(adj.)
gradually,徐々に,Occurring in a slow manner over a period of time,ˈgræʤuəli,副詞(adv)
graduate,卒業する，卒業生，大学院の,Concerning university courses taken after receiving a four-year degree,ˈgræʤuɪt,形容詞(adj.)
grain,粒；穀物,seeds of plants used for food,greɪn,名詞(n.)
grateful,感謝している,Feeling or showing thanks; thankful,ˈgreɪtfəl,形容詞(adj.)
greet,挨拶する；出迎える,To meet someone with friendly words and actions ; to welcome,grit,動詞(verb)
guideline,指針,"rule, instruction or principle",ˈgaɪˌdlaɪn,名詞(n.)
guitar,ギター,stringed musical instrument played with the fingers,gɪˈtɑr,名詞(n.)
harbor,港,area of water protected by land and used by ships,ˈhɑrbər,名詞(n.)
hence,それ故,"From now, later than the present time",hɛns,副詞(adv)
highlight,見所；ハイライト，強調する,best or most interesting part of something,ˈhaɪˌlaɪt,名詞(n.)
hint,ほのめかす，ヒント,"To indicate what you think, feel, know without saying it directly",hɪnt,動詞(verb)
host,主人，開催する,person who is entertains guests,hoʊst,名詞(n.)
household,家庭 ; 世帯,Concerning a house,ˈhaʊsˌhoʊld,名詞(n.)
humor,ユーモア,quality that makes something funny,ˈhjumər,名詞(n.)
hypothesis,仮説,idea that leads to further study or discussion,haɪˈpɑθəsəs,名詞(n.) 複数形(pl.)
immigrant,移民,person moving to another country to live there,ˈɪməgrənt,名詞(n.)
implement,実行する,tool,ˈɪmpləmənt,名詞(n.)
implementation,履行；実施,act of implementing (providing a practical means for accomplishing something); carrying into effect,ˌɪmpləmɛnˈteɪʃən,名詞(n.)
implication,含意,possible effects or results from an action or event,ˌɪmpləˈkeɪʃən,名詞(n.)
imply,暗に意味する,"to suggest something, without saying it directly",ɪmˈplaɪ,動詞(verb)
import,輸入する，輸入,To bring Items or GOODS from one country into another,ˈɪmpɔrt,動詞(verb)
importance,重要性,being important; having a big effect on,ɪmˈpɔrtəns,名詞(n.)
impose,課す；強いる,To make someone to do or endure something,ɪmˈpoʊz,動詞(verb)
impression,印象,effect or feeling resulting from an experience,ɪmˈprɛʃən,名詞(n.)
incentive,刺激；動因,Something that encourages a person to work hard,ɪnˈsɛntɪv,名詞(n.)
incident,事件,"event, usually unusual or important",ˈɪnsədənt,名詞(n.)
incorporate,合併する；組み込む；法人組織化する,To include or involve as part of something else,ɪnˈkɔrpərɪt,動詞(verb)
independence,独立,having the freedom to make your own decisions,ˌɪndɪˈpɛndəns,名詞(n.)
independent,独立した,making your own decisions; not controlled by others,ˌɪndɪˈpɛndənt,形容詞(adj.)
index,索引；目録；指針,written or printed (usually alphabetical) list,ˈɪndɛks,名詞(n.)
infant,幼児,child in the beginning stage of life; a baby,ˈɪnfənt,名詞(n.)
infection,感染症,act or state of becoming INFECTED with a disease,ɪnˈfɛkʃən,名詞(n.)
inflation,インフレーション ；膨張,continual rise in the prices of products,ɪnˈfleɪʃən,名詞(n.)
initial,最初の，頭文字,Existing or occurring at the beginning,ɪˈnɪʃəl,形容詞(adj.)
initially,初めは,At first; originally,ɪˈnɪʃəli,副詞(adv)
initiative,構想；戦略,ability to decide or act upon things yourself without depending on someone else,ɪˈnɪʃətɪv,名詞(n.)
innovation,革新,new invention or idea that is created,ˌɪnəˈveɪʃən,名詞(n.)
input,入力；インプット,"To put in information, advice or opinions",ˈɪnˌpʊt,動詞(verb)
inquiry,問い合わせ；質問；調査,request for information,ɪnˈkwaɪri,名詞(n.)
insight,洞察,very good understanding of something a clear idea about how something works,ˈɪnˌsaɪt,名詞(n.)
inspire,刺激を与える；触発する,To make someone have the desire to do something,ɪnˈspaɪr,動詞(verb)
install,導入する；設置する；インストールする,To set up a piece of EQUIPMENT so that it is ready to use,ɪnˈstɔl,動詞(verb)
institution,機関; 施設,organization created for a particular cause or purpose,ˌɪnstɪˈtuʃən,名詞(n.)
institutional,制度の,Being related or similar to an institution,ˌɪnstɪˈtuʃənəl,形容詞(adj.)
integrate,統合する,to combine together; make into one thing,ˈɪntəˌgreɪt,動詞(verb)
intellectual,知的な,person who uses the mind intelligently,ˌɪntəˈlɛkʧuəl,名詞(n.)
intelligence,知能,ability to learn things or to consider situations,ɪnˈtɛləʤəns,名詞(n.)
interaction,相互作用；交流,process of two or more people or things affecting each other; the process of INTERACTING,ˌɪntəˈrækʃən,名詞(n.)
interior,内部；室内；インテリア,Being the inside part of something; being inside something,ɪnˈtɪriər,形容詞(adj.)
internal,内部の,Within or inside,ɪnˈtɜrnəl,形容詞(adj.)
international,国際的な,"done or relating to several countries, not just your own",ˌɪntərˈnæʃənəl,形容詞(adj.)
interpret,通訳する,to translate what is said into another language,ɪnˈtɜrprət,動詞(verb)
interpretation,解釈,explanation of the meaning of something,ɪnˌtɜrprɪˈteɪʃən,名詞(n.)
intervention,介入；仲裁,act of coming between two or more parties in a situation or disagreement to try to change the result,ˌɪntərˈvɛnʧən,名詞(n.)
invent,発明する,To create something useful for the first time,ɪnˈvɛnt,動詞(verb)
invest,投資する,To use resources to build for the future,ɪnˈvɛst,動詞(verb)
investment,投資,something purchased hoping its value will increase,ɪnˈvɛstmənt,名詞(n.)
investor,投資家,person who spends money to help business grow,ɪnˈvɛstər,名詞(n.)
isolate,隔離する；孤立させる,To keep in a place or situation apart from others,ˈaɪsəˌleɪt,動詞(verb)
jail,刑務所,place to hold criminals being punished for a crime,ʤeɪl,名詞(n.)
joint,継ぎ目,point at which two things meet (e.g. a road),ʤɔɪnt,名詞(n.)
journal,新聞；雑誌；定期刊行物,book in which brief daily accounts of events are written,ˈʤɜrnəl,名詞(n.)
journalist,ジャーナリスト,"person who writes news reports for newspapers, magazines, television, or radio",ˈʤɜrnələst,名詞(n.)
jury,陪審；審査員,"group of 12 citizens who listen to information about the problem or crime, receive instructions from the judge, and decide the guilt or innocence of the person on trial",ˈʤʊri,名詞(n.)
justify,正当化する,To give reasons why you did something or why it is right,ˈʤʌstəˌfaɪ,動詞(verb)
label,ラベル，ラベルをつける；名前をつける,a piece of paper or material to identify something,ˈleɪbəl,名詞(n.)
landscape,風景,natural scenery of a place,ˈlændˌskeɪp,名詞(n.)
latter,後の，後者,the second or last mentioned thing,ˈlætər,限定詞(det.)
laughter,笑い,action or sound of laughing,ˈlæftər,名詞(n.)
launch,始める；発射する,to put a rocket into the air; put a ship into the water,lɔnʧ,動詞(verb)
layer,層,one of several sheets of a material or object,ˈleɪər,名詞(n.)
leather,革；革製品,"chemically tanned animal skin, e.g. for shoes",ˈlɛðər,名詞(n.)
lecture,講演する，講演,talk or speech about a particular subject,ˈlɛkʧər,名詞(n.)
legislation,法律制定,act or process of writing and passing laws,ˌlɛʤəˈsleɪʃən,名詞(n.)
liability,責任；負債,"something that is owed to someone else, e.g. a debt",ˌlaɪəˈbɪlɪti,名詞(n.)
liberal,自由主義の,Believing government should actively support social needs,ˈlɪbərəl,形容詞(adj.)
link,つなぐ；連結する，輪,To join or connect together,lɪŋk,動詞(verb)
liquid,液体,basic state of things that is similar to water; not solid or gas,ˈlɪkwəd,名詞(n.)
literally,文字通り,In a way that expresses the exact or LITERAL meaning of something,ˈlɪtərəli,副詞(adv)
literary,文学の,Concerning or concerned with literature,ˈlɪtəˌrɛri,形容詞(adj.)
literature,文学；文献,"Writings that are valued as works of art, esp. fiction, drama and poetry",ˈlɪtərəʧər,名詞(n.)
logic,論理,"proper, valid sensible reasoning",ˈlɑʤɪk,名詞(n.)
luxury,豪華さ；贅沢品,Something expensive or costly that is not needed which is bought for pleasure,ˈlʌgʒəri,名詞(n.)
majority,大多数,amount that is more than half of a group,məˈʤɔrəti,名詞(n.)
manufacture,製造，製造する,to produce large numbers of products in a factory,ˌmænjəˈfækʧər,動詞(verb)
manufacturer,製造業者；メーカー,group or company that makes a certain product,ˌmænjəˈfækʧərər,名詞(n.)
margin,余白；縁；限界；利益,"edge or border of a page on above, below",ˈmɑrʤən,名詞(n.)
mature,成熟した,"Being an adult, being fully developed physically",məˈʧʊr,形容詞(adj.)
mayor,市長,head of city government,ˈmeɪər,名詞(n.)
meanwhile,その間に；一方では,At or during the same time ; in the meantime,ˈminˌwaɪl,副詞(adv)
mechanism,機構；メカニズム,piece of machinery,ˈmɛkəˌnɪzəm,名詞(n.)
medium,中間；媒体；手段；マスコミ機関,"middle size, something between other things",ˈmidiəm,名詞(n.)
menu,メニュー,list of dishes available at a restaurant,ˈmɛnju,名詞(n.)
mere,単なる,Just enough,mɪr,形容詞(adj.)
merely,単に,"Only, simply, or nothing more than",ˈmɪrli,副詞(adv)
method,方法,(organized and planned) way of doing something,ˈmɛθəd,名詞(n.)
minimum,最小限,lowest number or amount that is possible,ˈmɪnəməm,名詞(n.)
mixture,混合,Something made by combining two or more things,ˈmɪksʧər,名詞(n.)
mobile,携帯電話,Capable of moving from one place to another,ˈmoʊbəl,形容詞(adj.)
mode,状態；方法,way of acting or doing something,moʊd,名詞(n.)
moderate,適度の,Average in size or amount,ˈmɑdərət,形容詞(adj.)
modify,変更する,To make minor change to something,ˈmɑdəˌfaɪ,動詞(verb)
module,モジュール,part or unit with a specific job,ˈmɑʤul,名詞(n.)
monitor,モニター,electronic screen on which you can see images,ˈmɑnətər,名詞(n.)
moral,道徳；モラル,in a way considered proper and good by most people,ˈmɔrəl,形容詞(adj.)
moreover,さらに,In addition to what has been said,mɔˈroʊvər,副詞(adv)
mortgage,抵当；住宅ローン,long-term loan from a bank for buying property,ˈmɔrgəʤ,名詞(n.)
motion,動き,a movement; the process of moving,ˈmoʊʃən,名詞(n.)
motivate,やる気にさせる,to make someone enthusiastic about doing something,ˈmoʊtəˌveɪt,動詞(verb)
motivation,動機；モチベーション,mental drive in a person that makes him or her do something,ˌmoʊtəˈveɪʃən,名詞(n.)
multiple,複数の,Having or involving more than one of something,ˈmʌltəpəl,形容詞(adj.)
museum,博物館,"building to display art, science, or history objects",mjuˈziəm,名詞(n.)
mutual,互いの; 交互の,Shared between two or more people,ˈmjuʧuəl,形容詞(adj.)
narrative,物語,the telling of a story,ˈnærətɪv,名詞(n.)
negative,否定の；後ろ向きの，否定；拒否,"Being harmful, unwanted or unhelpful",ˈnɛgətɪv,形容詞(adj.)
neglect,無視する；怠る,To fail to take care of something,nəˈglɛkt,動詞(verb)
negotiate,交渉する,To have a formal discussion to reach an agreement,nəˈgoʊʃiˌeɪt,動詞(verb)
negotiation,交渉,a formal discussion to reach an agreement,nɪˌgoʊʃiˈeɪʃən,名詞(n.)
net,網；ネット,crossed rope/fibers with partly open pattern,nɛt,名詞(n.)
network,ネットワーク；網,system of connections,ˈnɛˌtwɜrk,名詞(n.)
nevertheless,それにもかかわらず,in spite of what has just been said; nonetheless,ˌnɛvərðəˈlɛs,副詞(adv)
notion,概念,idea or opinion about doing something,ˈnoʊʃən,名詞(n.)
novel,小説,written fiction story,ˈnɑvəl,名詞(n.)
nuclear,核の；原子力の,Concerning or involving the center of an ATOM,ˈnukliər,形容詞(adj.)
numerous,多くの,Existing in large numbers,ˈnumərəs,形容詞(adj.)
objective,目標,something you decide you want to do; goal,əbˈʤɛktɪv,名詞(n.)
obligation,義務,"duty that must be performed because of a law, rule, agreement, or promise",ˌɑbləˈgeɪʃən,名詞(n.)
occupy,占める,"To fill a time, a space, or an area",ˈɑkjəˌpaɪ,動詞(verb)
ocean,海,large body of salt water that covers most of the surface of the earth,ˈoʊʃən,名詞(n.)
offense,犯罪；攻撃,criminal act; something that causes hurt,əˈfɛns,名詞(n.)
opera,オペラ ,play with music in which all the words are sung,ˈɑprə,名詞(n.)
opponent,対戦相手；反対者,person that you are competing against in a game or contest,əˈpoʊnənt,名詞(n.)
organic,有機体の；オーガニック,Concerning food made with few or no chemicals,ɔrˈgænɪk,形容詞(adj.)
origin,起源,point at which something begins or is created,ˈɔrəʤən,名詞(n.)
outcome,結果,"Something that happens as a result, consequence",ˈaʊtˌkʌm,名詞(n.)
outline,概要，概要を述べる,To overview or summarize the important points of something,ˈaʊtˌlaɪn,動詞(verb)
output,生産；出力,amount of something that is produced,ˈaʊtˌpʊt,名詞(n.)
overall,全部の；総合的な，全体として,"Viewed as a whole; in general, not as details",ˈoʊvəˌrɔl,形容詞(adj.)
overcome,克服する,To succeed in a struggle against; defeat,ˈoʊvərˌkʌm,動詞(verb)
overseas,海外；海外の,In or to a foreign country that is across a sea,ˈoʊvərˈsiz,副詞(adv)
pace,ペース；一歩；速度,rate of speed at which someone or something moves or happens,peɪs,名詞(n.)
pale,青白い；淡い,Light in color,peɪl,形容詞(adj.)
panel,パネル；委員会,group of people who answer questions or give opinions,ˈpænəl,名詞(n.)
paragraph,段落,section of writing that usually deals with one subject,ˈpærəˌgræf,名詞(n.)
parallel,平行な，平行線,Very similar and often occurring at the same time,ˈpɛrəˌlɛl,形容詞(adj.)
participant,参加者,person who is actively involved and included in something,pɑrˈtɪsəpənt,名詞(n.)
participate,参加する,To take part with others in doing something,pɑrˈtɪsəˌpeɪt,動詞(verb)
participation,参加,act of being involved in something,pɑrˌtɪsəˈpeɪʃən,名詞(n.)
passage,通路；通過,narrow path or space through which people or objects can go through,ˈpæsəʤ,名詞(n.)
passenger,乗客,person who is travelling in a vehicle,ˈpæsənʤər,名詞(n.)
passion,情熱,"powerful, positive feeling about something",ˈpæʃən,名詞(n.)
peak,頂点に達する,Being at the highest or best level of something,pik,名詞(n.)
peer,対等者；同級生；貴族,"person of the same age, class or background as another",pɪr,名詞(n.)
penalty,罰,Punishment for committing a crime or offense,ˈpɛnəlti,名詞(n.)
perceive,知覚する；気づく,To notice or become aware of something,pərˈsiv,動詞(verb)
perception,知覚；認知,way in which one sees or understands something,pərˈsɛpʃən,名詞(n.)
permanent,永続的な,Lasting forever ; not temporary or changing,ˈpɜrmənənt,形容詞(adj.)
permission,許可,right to do something as allowed by another,pərˈmɪʃən,名詞(n.)
permit,許可する,To allow something to happen; to give permission,ˈpɜrˌmɪt,動詞(verb)
personality,個性；性格,person_s unique character; the way that a person usually acts,ˌpɜrsəˈnælɪti,名詞(n.)
personnel,人事部；人員,group of people who work for a company,ˌpɜrsəˈnɛl,名詞(n.)
perspective,視点；遠近法,"way of thinking, an attitude toward something",pərˈspɛktɪv,名詞(n.)
persuade,説得する,"to get you to do/believe something, by giving reasons",pərˈsweɪd,動詞(verb)
phase,段階,distinct part or step in a process,feɪz,名詞(n.)
phenomenon,現象,fact that can observed and studied,fəˈnɑməˌnɑn,名詞(n.)
philosophy,哲学,study of ideas about the fundamental nature of life,fəˈlɑsəfi,名詞(n.)
phrase,言い回し；語句,group of words that forms a unit and expresses a single meaning,freɪz,名詞(n.)
pilot,飛行士；パイロット，操縦する；導く,Performed to see if a larger or more detailed thing should be done,ˈpaɪlət,名詞(n.)
platform,プラットフォーム；台,"flat, raised structure that people stand on",ˈplætˌfɔrm,名詞(n.)
plot,企み；陰謀，たくらむ,"To plan something in secret, often something bad",plɑt,動詞(verb)
poll,投票；世論調査,process of gathering people's opinions about something by asking a question or series of questions about a particular subject,poʊl,名詞(n.)
portion,部分,part of a whole,ˈpɔrʃən,名詞(n.)
portrait,肖像,"painting, drawing or photograph of a person's head and shoulders",ˈpɔrtrət,名詞(n.)
pose,姿勢；ポーズ，ポーズをとる,to put someone in a position to be photographed,poʊz,動詞(verb)
potential,可能性，潜在的な,capable of happening or becoming reality,pəˈtɛnʃəl,形容詞(adj.)
potentially,潜在的に,that could happen or become reality,pəˈtɛnʃəli,副詞(adv)
poverty,貧困,state of being poor,ˈpɑvərti,名詞(n.)
praise,称賛，称賛する,To express approval of something or someone,preɪz,動詞(verb)
precise,精密な；正確な,Very accurate and exact expression or detail,prɪˈsaɪs,形容詞(adj.)
precisely,正確に,In an exact and accurate manner,prɪˈsaɪsli,副詞(adv)
predict,予測する,To guess or estimate what will or might happen,prɪˈdɪkt,動詞(verb)
premise,前提；土地；建物,building and the area of land that it rests upon,ˈprɛmɪs,名詞(n.)
presence,出席,condition or state of someone or something being at a certain place,ˈprɛzəns,名詞(n.)
preserve,保存する,To keep or maintain in an unchanged or perfect condition,prəˈzɜrv,動詞(verb)
primarily,主に,in the most basic or important way,praɪˈmɛrəli,副詞(adv)
primary,主要な；第一位の,"most important, most basic or essential",ˈpraɪˌmɛri,形容詞(adj.)
principal,主要な,Being of the most importance,ˈprɪnsəpəl,形容詞(adj.)
principle,原理；原則,natural law that explains how things work,ˈprɪnsəpəl,名詞(n.)
prior,前の; 優先する,Existing or coming earlier in time,ˈpraɪər,形容詞(adj.)
priority,優先順位,fact that is more important than other things,praɪˈɔrəti,名詞(n.)
privilege,特権；特典,advantage or right that is given to only a certain person or group of people,ˈprɪvləʤ,名詞(n.)
prize,賞品,Something that is won in a contest or given as an award,praɪz,名詞(n.)
procedure,手順,usual or standard way in which something is done,prəˈsiʤər,名詞(n.)
proceed,続ける；実施する,To continue to do something; carry on,prəˈsid,動詞(verb)
profile,紹介；プロフィール，概略を書く；人物評を書く,description listing the basic information about a person or group,ˈproʊˌfaɪl,名詞(n.)
profit,利益を得る,To earn money from something,ˈprɑfət,動詞(verb)
promote,推進する；促進する；奨励する,To try to encourage the popularity and sales of a product,prəˈmoʊt,動詞(verb)
promotion,促進；販売促進,act of advertising a product to people,prəˈmoʊʃən,名詞(n.)
prompt,刺激する；促す，刺激；促進,Being done quickly and with no delay,prɑmpt,動詞(verb)
proof,証拠；証明,Something which shows that something else is true,pruf,名詞(n.)
proportion,割合,amount that is a part of a whole thing,prəˈpɔrʃən,名詞(n.)
prospect,見込み；可能性,"Wide view of a landscape, etc",ˈprɑspɛkt,名詞(n.)
protein,タンパク質,"substance found in some foods, such as meat, that is needed by the body to stay healthy",ˈproʊˌtin,名詞(n.)
province,州；省；領域,area that a country or nation is divided into,ˈprɑvəns,名詞(n.)
provision,規定；条項；条件,clause in a legal document,prəˈvɪʒən,名詞(n.)
psychological,心理的な,Having to do with the mind,ˌsaɪkəˈlɑʤɪkəl,形容詞(adj.)
publication,発表；出版,"process of producing a book, magazine",ˌpʌblɪˈkeɪʃən,名詞(n.)
publisher,出版社,business that produces books or magazines,ˈpʌblɪʃər,名詞(n.)
pupil,児童；生徒,"person who is being taught, in a school, etc",ˈpjupəl,名詞(n.)
pursue,追求する,To follow and try to catch or to reach a goal,pərˈsu,動詞(verb)
quantity,量,amount or number of something,ˈkwɑntəti,名詞(n.)
racial,人種の,Concerning or according to race,ˈreɪʃəl,形容詞(adj.)
radical,抜本的な；急進的な,very new and different from what is traditional,ˈrædəkəl,形容詞(adj.)
rail,鉄道；レール,"long, thin piece of metal",reɪl,名詞(n.)
random,無作為の,"Chosen, done without a particular plan or pattern",ˈrændəm,形容詞(adj.)
rank,階級；地位，順位付けする,To rate people in higher or lower position relative to others,ræŋk,動詞(verb)
ratio,比率,"quantitative relationship in size, etc",ˈreɪʃiˌoʊ,名詞(n.)
raw,生の；未加工の,Being uncooked,rɑ,形容詞(adj.)
rear,育てる,To bring up animals e.g. horses as a farmer,rɪr,動詞(verb)
recognition,認識,Accepting that something is true or that it exists,ˌrɛkəgˈnɪʃən,名詞(n.)
recruit,採用する；募集する，新入社員,"To get people to come and work, join or study with you",rəˈkrut,動詞(verb)
reflect,反映する；反射する,to bounce back off a surface e.g. light,rəˈflɛkt,動詞(verb)
reflection,反射；反響,"image that you see in a mirror, glass, or water",rəˈflɛkʃən,名詞(n.)
reform,改革する，改革；改良,To improve society by removing abuse and injustices,riˈfɔrm,動詞(verb)
refugee,難民,person who has been forced to leave his or her country due to a war or for religious reasons,ˈrɛfjuʤi,名詞(n.)
regret,後悔する，後悔,To be sorry about something,rəˈgrɛt,動詞(verb)
regulate,規制する,"To set or adjust the amount, restrict something",ˈrɛgjəˌleɪt,動詞(verb)
regulation,規制,official rule that controls how something is done,ˌrɛgjəˈleɪʃən,名詞(n.)
reject,拒否する,"To refuse, deny to believe, accept, or consider",ˈriʤɛkt,動詞(verb)
relative,親戚,Measured or considered in comparison to something else,ˈrɛlətɪv,名詞(n.)
relatively,比較的に；相対的に,In a manner that measures or compares something to something else,ˈrɛlətɪvli,副詞(adv)
relevant,関連した,Concerning a subject in an considerable way,ˈrɛləvənt,形容詞(adj.)
religion,宗教,set of beliefs about a god or gods,rɪˈlɪʤən,名詞(n.)
religious,宗教的な,Concerning religion or faith,rɪˈlɪʤəs,形容詞(adj.)
remote,遠い,"Being far away from people, towns, and other things that are familiar",rɪˈmoʊt,形容詞(adj.)
reputation,評判,common opinion that people have about someone,ˌrɛpjəˈteɪʃən,名詞(n.)
request,依頼する，依頼,To ask for something,rɪˈkwɛst,動詞(verb)
rescue,救助する，救助,To save something from danger or harm,ˈrɛskju,動詞(verb)
resident,居住している，住民,someone who lives in a particular place,ˈrɛzɪdənt,形容詞(adj.)
resign,辞任する,To leave a job because you want to,rɪˈzaɪn,動詞(verb)
resolution,解決；決議；分解,formal statement of the desires or decisions of a group,ˌrɛzəˈluʃən,名詞(n.)
resolve,解決する,To be determined to find an answer or to solve problems,riˈzɑlv,動詞(verb)
resort,リゾート地,"place that provides entertainment, meals, and rooms that one goes to for a vacation",rɪˈzɔrt,名詞(n.)
resource,資源,essential supply of something,ˈrisɔrs,名詞(n.)
respectively,それぞれ,"With regards to each of several persons or things as mentioned, in the order they were mentioned",rɪˈspɛktɪvli,副詞(adv)
respond,返事する；反応する,To say or write to answer the question,rɪˈspɑnd,動詞(verb)
response,返答；反応,Something said or written as an answer to something,rɪˈspɑns,名詞(n.)
restore,回復する,"To put or bring back into existence or use, mend",rɪˈstɔr,動詞(verb)
restrict,制限する,To prevent someone from doing something,riˈstrɪkt,動詞(verb)
restriction,制限,"law or rule that controls or limits the speed, size, amount, or number of something",riˈstrɪkʃən,名詞(n.)
retail,小売,Concerning the business of selling products to the public for personal use,ˈriˌteɪl,形容詞(adj.)
retain,保持する,"To continue to have or use, keep the quality",rɪˈteɪn,動詞(verb)
reveal,暴露，明らかにする,"To make known, to show or prove",rɪˈvil,動詞(verb)
revenue,収入,Money that is made by or paid to a business,ˈrɛvəˌnu,名詞(n.)
reverse,逆，反対の，逆転する,"To change to an opposite state ,way or condition",rɪˈvɜrs,動詞(verb)
review,批評，批評する,To carefully look at the quality of something,ˌriˈvju,動詞(verb)
revise,改訂する；復習する,"To make changes, add something to improve",rɪˈvaɪz,動詞(verb)
revolution,革命；回転数,sudden significant change,ˌrɛvəˈluʃən,名詞(n.)
reward,報酬，報いる,To give something to someone because of their good work,rɪˈwɔrd,動詞(verb)
rival,ライバル,be in opposition to someone often as competitors,ˈraɪvəl,形容詞(adj.)
romantic,ロマンチックな,"Involving, causing, or relating to strong feelings of love between two people",roʊˈmæntɪk,形容詞(adj.)
route,道,way to get from one place to another place,rut,名詞(n.)
routine,日課，いつもの,Happening or done regularly or frequently,ruˈtin,名詞(n.)
rural,田舎の；農村の,Concerning the country as opposed to the city,ˈrʊrəl,形容詞(adj.)
sample,見本；サンプル,To try something to see if you like it (e.g. food),ˈsæmpəl,動詞(verb)
sanction,認可；制裁,action taken to force a country to obey laws,ˈsæŋkʃən,名詞(n.)
satisfaction,満足,happy feeling because of something that you did,ˌsætəˈsfækʃən,名詞(n.)
scan,詳しく調べる；ざっと目を通す；スキャンする,To look for details in something by examining it carefully,skæn,動詞(verb)
scheme,計画；構想,often dishonest plan to get or do something,skim,名詞(n.)
scholar,学者,educated person who attends or attended school,ˈskɑlər,名詞(n.)
scope,範囲，詳しく調べる,area or range of things that something includes or deals with,skoʊp,名詞(n.)
secretary,秘書；大臣；長官,"Employee in an office, usually working for another person, dealing with letters, typing, filing, etc. and making appointments and arrangements",ˈsɛkrəˌtɛri,名詞(n.)
sector,部門,area that includes certain kinds of job,ˈsɛktər,名詞(n.)
segment,部分,part divided from the other parts of something,ˈsɛgmənt,名詞(n.)
sensitive,敏感な；繊細な,Easily hurt or damaged,ˈsɛnsətɪv,形容詞(adj.)
sequence,"順序, 配列、連続、結果",order in which things (should) happen,ˈsikwəns,名詞(n.)
session,開催；時間；集会；セッション,"meeting or series of meetings of a body, such as a court or legislature",ˈsɛʃən,名詞(n.)
severe,厳しい,Very bad,səˈvɪr,形容詞(adj.)
sigh,ため息，ため息をつく,To breathe out in a way to show boredom or disappointment,saɪ,動詞(verb)
significance,意義,importance of something; the potential for something to have a big effect,səgˈnɪfɪkəns,名詞(n.)
significant,重要な,Large enough to be noticed or have an effect; important,səgˈnɪfɪkənt,形容詞(adj.)
significantly,著しく,In a way that is important or noticeable,sɪgˈnɪfɪkəntli,副詞(adv)
silent,静かな,Not speaking or making noise,ˈsaɪlənt,形容詞(adj.)
slice,一切れ；薄片,flat piece of food that has been cut from a bigger piece of food,slaɪs,名詞(n.)
slope,傾斜,Ground that slants downward or upward,sloʊp,名詞(n.)
solution,解決策; 解答,Something that ends a problem,səˈluʃən,名詞(n.)
solve,解決する,To find a way to deal with a problem,sɑlv,動詞(verb)
source,源,Produces or provides what is wanted or needed,sɔrs,名詞(n.)
specify,指定する,"To state, name or mention exactly and clearly",ˈspɛsəˌfaɪ,動詞(verb)
sponsor,出資者；スポンサー，スポンサーになる ,To help someone or something succeed by giving them money,ˈspɑnsər,動詞(verb)
stain,染み；汚点，染める；汚す,To mark or change the color of something so it looks dirty,steɪn,動詞(verb)
stake,賭け金，賞金；利害関係，賭ける,To bet or wager on an outcome,steɪk,動詞(verb)
statistic,統計値,number that represents a piece of information,stəˈtɪstɪk,名詞(n.)
status,社会的地位,position or rank relative to others in a society,ˈstætəs,名詞(n.)
stem,幹，起因する；食い止める,"long, thin thing joining parts of a plant",stɛm,名詞(n.)
stimulate,刺激する,Excite to action,ˈstɪmjəˌleɪt,動詞(verb)
strain,こす；ろ過する,To use too much energy that you hurt yourself,streɪn,動詞(verb)
strategy,戦略,careful plan or method for achieving a goal,ˈstrætəʤi,名詞(n.)
strict,厳格な,command that must be obeyed,strɪkt,形容詞(adj.)
structural,構造の,Concerning or caused by structure,ˈstrʌkʧərəl,形容詞(adj.)
structure,構造；組み立て,"the way something is built, arranged or organized",ˈstrʌkʧər,名詞(n.)
studio,スタジオ,"place for painting, broadcasting, etc",ˈstudiˌoʊ,名詞(n.)
submit,提出する,To accept a superior force has power over you,səbˈmɪt,動詞(verb)
subsequent,次の; 後の,Happening after,ˈsʌbsəkwənt,形容詞(adj.)
subsequently,後で,After something else has happened,ˈsʌbsəkwəntli,副詞(adv)
substance,実体；実質；内容,particular type of material,ˈsʌbstəns,名詞(n.)
substantial,かなりの; 実質的な,"Being large in degree, quantity, or size",səbˈstænʧəl,形容詞(adj.)
substitute,代わり，代用する：置き換える,person or thing that makes the place instead of something,ˈsʌbstəˌtut,名詞(n.)
